일자,기관 합계,기타법인,개인,외국인 합계,전체
"2022/06/14","115","923","1648","-2686","0"
"2022/06/13","3018","237","3698","-6953","0"
"2022/06/10","739","-284","3212","-3667","0"
"2022/06/09","40","3366","-647","-2759","0"
"2022/06/08","262","-2017","-4186","5941","0"
"2022/06/07","5969","1246","7395","-14610","0"
"2022/06/03","331","-330","-2403","2402","0"
"2022/06/02","670","59","4619","-5348","0"
"2022/05/31","-2009","-313","65","2257","0"
"2022/05/30","1157","-1024","-3730","3597","0"
"2022/05/27","1754","-970","-3129","2345","0"
"2022/05/26","2329","120","1748","-4197","0"
"2022/05/25","-406","1946","-2833","1293","0"
"2022/05/24","-692","-1433","3604","-1479","0"
"2022/05/23","921","286","3024","-4231","0"
"2022/05/20","-5387","-733","-4720","10840","0"
"2022/05/19","-262","637","-1253","878","0"
"2022/05/18","2728","-823","834","-2739","0"
"2022/05/17","-271","519","-1479","1231","0"
"2022/05/16","438","1232","3848","-5518","0"
"2022/05/13","-1888","-1421","-7891","11200","0"
"2022/05/12","-8388","2584","3157","2647","0"
"2022/05/11","4082","-2082","-157","-1843","0"
"2022/05/10","5963","1457","2140","-9560","0"
"2022/05/09","2230","-902","2639","-3967","0"
"2022/05/06","4288","-512","338","-4114","0"
"2022/05/04","2270","262","1335","-3867","0"
"2022/05/03","3713","-897","3801","-6617","0"
"2022/05/02","-2246","229","1955","62","0"
"2022/04/29","-3026","-21","-4411","7458","0"
"2022/04/28","1105","-632","-2872","2399","0"
"2022/04/27","-592","423","-90","259","0"
"2022/04/26","-1249","108","-652","1793","0"
"2022/04/25","2058","566","894","-3518","0"
"2022/04/22","6917","526","4762","-12205","0"
"2022/04/21","-4153","647","-1494","5000","0"
"2022/04/20","1456","-1374","-490","408","0"
"2022/04/19","-1958","-472","27","2403","0"
"2022/04/18","-1191","697","-3845","4339","0"
"2022/04/15","8014","880","1473","-10367","0"
"2022/04/14","2261","165","732","-3158","0"
"2022/04/13","-3934","-315","-1757","6006","0"
"2022/04/12","1511","384","2026","-3921","0"
"2022/04/11","-3392","852","-1341","3881","0"
"2022/04/08","25","688","-1499","786","0"
"2022/04/07","5724","-387","5286","-10623","0"
"2022/04/06","4647","-88","2609","-7168","0"
"2022/04/05","3738","184","-36","-3886","0"
"2022/04/04","546","-641","-1039","1134","0"
"2022/04/01","3211","-107","2481","-5585","0"
"2022/03/31","-4853","41","-1436","6248","0"
"2022/03/30","-2327","516","-1372","3183","0"
"2022/03/29","509","-874","2202","-1837","0"
"2022/03/28","-3271","-113","-3407","6791","0"
"2022/03/25","2974","-144","-612","-2218","0"
"2022/03/24","174","629","1602","-2405","0"
"2022/03/23","1050","-413","-1043","406","0"
"2022/03/22","-2496","-205","-1984","4685","0"
"2022/03/21","1106","242","1707","-3055","0"
"2022/03/18","-1047","-128","-1497","2672","0"
"2022/03/17","677","-430","728","-975","0"
"2022/03/16","5115","-507","-3179","-1429","0"
"2022/03/15","87","-190","2711","-2608","0"
"2022/03/14","-1808","-204","-204","2216","0"
"2022/03/11","1470","253","1151","-2874","0"
"2022/03/10","8233","74","-2456","-5851","0"
"2022/03/08","-533","1180","314","-961","0"
"2022/03/07","1958","201","-1113","-1046","0"
"2022/03/04","-798","389","3390","-2981","0"
"2022/03/03","2977","-794","-2741","558","0"
"2022/03/02","-1588","-368","3067","-1111","0"
"2022/02/28","-799","366","-17","450","0"
"2022/02/25","2624","-173","-1818","-633","0"
"2022/02/24","-639","-7","-360","1006","0"
"2022/02/23","1852","-216","1752","-3388","0"
"2022/02/22","-321","214","2701","-2594","0"
"2022/02/21","-297","-604","-2635","3536","0"
"2022/02/18","16","-255","2599","-2360","0"
"2022/02/17","-3130","691","-643","3082","0"
"2022/02/16","1938","-1307","-5252","4621","0"
"2022/02/15","-703","815","4200","-4312","0"
"2022/02/14","-2721","310","-294","2705","0"
"2022/02/11","-4101","372","878","2851","0"
"2022/02/10","-4440","-11","-2217","6668","0"
"2022/02/09","-2249","-894","-768","3911","0"
"2022/02/08","-5559","873","-606","5292","0"
"2022/02/07","4881","-1184","423","-4120","0"
"2022/02/04","2365","25","-2670","280","0"
"2022/02/03","3217","-726","-165","-2326","0"
"2022/01/28","2827","153","-4227","1247","0"
"2022/01/27","169","196","349","-714","0"
"2022/01/26","-1375","469","684","222","0"
"2022/01/25","7587","163","927","-8677","0"
"2022/01/24","3689","192","4620","-8501","0"
"2022/01/21","-936","247","-1059","1748","0"
"2022/01/20","3190","-424","-878","-1888","0"
"2022/01/19","266","809","-1175","100","0"
"2022/01/18","4106","128","1349","-5583","0"
"2022/01/17","6467","17","326","-6810","0"
"2022/01/14","6080","221","3499","-9800","0"
"2022/01/13","2816","257","4753","-7826","0"
"2022/01/12","-8553","-347","-4008","12908","0"
"2022/01/11","1454","-506","-1111","163","0"
"2022/01/10","4387","324","2157","-6868","0"
"2022/01/07","-1299","-739","-4664","6702","0"
"2022/01/06","592","-248","-754","410","0"
"2022/01/05","6764","867","2588","-10219","0"
"2022/01/04","8304","134","-1269","-7169","0"
"2022/01/03","137","-214","-2489","2566","0"
"2021/12/30","6426","428","873","-7727","0"
"2021/12/29","174","105","1105","-1384","0"
"2021/12/28","1996","-312","-777","-907","0"
"2021/12/27","682","644","3047","-4373","0"
"2021/12/24","-6454","-496","92","6858","0"
"2021/12/23","-4251","-50","192","4109","0"
"2021/12/22","2331","-493","-1719","-119","0"
"2021/12/21","-3659","-40","1524","2175","0"
"2021/12/20","3780","719","2077","-6576","0"
"2021/12/17","-3240","-43","-1460","4743","0"
"2021/12/16","2779","-145","-619","-2015","0"
"2021/12/15","1623","98","97","-1818","0"
"2021/12/14","1764","52","853","-2669","0"
"2021/12/13","-1635","-121","1013","743","0"
"2021/12/10","-5346","63","161","5122","0"
"2021/12/09","-2657","-708","-2821","6186","0"
"2021/12/08","-7442","-288","1838","5892","0"
"2021/12/07","481","-105","-118","-258","0"
"2021/12/06","-3786","123","-505","4168","0"
"2021/12/03","-3002","-24","-23","3049","0"
"2021/12/02","-2147","99","376","1672","0"
"2021/12/01","-2332","156","-3159","5335","0"
"2021/11/30","4601","181","-3255","-1527","0"
"2021/11/29","-4862","45","-476","5293","0"
"2021/11/26","4132","-153","-1360","-2619","0"
"2021/11/25","556","738","3637","-4931","0"
"2021/11/24","1520","-34","1869","-3355","0"
"2021/11/23","1721","338","2148","-4207","0"
"2021/11/22","-5085","-549","-4296","9930","0"
"2021/11/19","287","-525","-1482","1720","0"
"2021/11/18","-2692","169","-561","3084","0"
"2021/11/17","7198","575","4684","-12457","0"
"2021/11/16","-1683","145","957","581","0"
"2021/11/15","-507","-217","-1159","1883","0"
"2021/11/12","-1146","-408","-2729","4283","0"
"2021/11/11","696","171","-3343","2476","0"
"2021/11/10","711","724","3555","-4990","0"
"2021/11/09","-2529","-595","-1898","5022","0"
"2021/11/08","-2778","300","-36","2514","0"
"2021/11/05","2169","482","558","-3209","0"
"2021/11/04","-3831","-713","-3571","8115","0"
"2021/11/03","5501","326","3957","-9784","0"
"2021/11/02","-9528","-199","2066","7661","0"
"2021/11/01","-6383","-677","-3070","10130","0"
"2021/10/29","3789","-31","-528","-3230","0"
"2021/10/28","-2448","-179","-1240","3867","0"
"2021/10/27","3790","405","3732","-7927","0"
"2021/10/26","3110","-227","936","-3819","0"
"2021/10/25","963","152","-1593","478","0"
"2021/10/22","-2427","-193","-540","3160","0"
"2021/10/21","-1669","-15","-1115","2799","0"
"2021/10/20","-790","-86","1323","-447","0"
"2021/10/19","-971","-109","1522","-442","0"
"2021/10/18","-1736","275","93","1368","0"
"2021/10/15","-956","-278","-282","1516","0"
"2021/10/14","-1941","-106","913","1134","0"
"2021/10/13","-4517","-784","-790","6091","0"
"2021/10/12","-237","964","-1369","642","0"
"2021/10/08","1000","-141","-3772","2913","0"
"2021/10/07","-1859","-339","2860","-662","0"
"2021/10/06","74","80","2762","-2916","0"
"2021/10/05","-1091","159","-1433","2365","0"
"2021/10/01","1602","-456","2052","-3198","0"
"2021/09/30","1670","-179","-2374","883","0"
"2021/09/29","4805","-489","-3986","-330","0"
"2021/09/28","5395","821","5152","-11368","0"
"2021/09/27","-1496","-139","-1079","2714","0"
"2021/09/24","2334","129","950","-3413","0"
"2021/09/23","-911","-122","1817","-784","0"
"2021/09/17","1059","-158","-2045","1144","0"
"2021/09/16","7606","411","1690","-9707","0"
"2021/09/15","-463","161","-262","564","0"
"2021/09/14","-5273","-169","-746","6188","0"
"2021/09/13","-1507","-5","-4336","5848","0"
"2021/09/10","602","-1480","-1427","2305","0"
"2021/09/09","474","1486","-668","-1292","0"
"2021/09/08","-616","-71","-1469","2156","0"
"2021/09/07","404","154","968","-1526","0"
"2021/09/06","-1591","65","829","697","0"
"2021/09/03","-1814","510","963","341","0"
"2021/09/02","-233","-1072","1788","-483","0"
"2021/09/01","59","-76","4212","-4195","0"
"2021/08/31","-675","3261","-4575","1989","0"
"2021/08/30","1812","-612","-655","-545","0"
"2021/08/27","-1712","-189","-1660","3561","0"
"2021/08/26","-205","-212","1245","-828","0"
"2021/08/25","-1533","172","1669","-308","0"
"2021/08/24","-467","-342","-2612","3421","0"
"2021/08/23","-277","-283","-1380","1940","0"
"2021/08/20","1022","-878","-4247","4103","0"
"2021/08/19","-661","383","1085","-807","0"
"2021/08/18","-232","-68","-2255","2555","0"
"2021/08/17","-601","-721","-124","1446","0"
"2021/08/13","7762","701","-496","-7967","0"
"2021/08/12","-4533","315","1970","2248","0"
"2021/08/11","2962","-331","3846","-6477","0"
"2021/08/10","8056","-558","8484","-15982","0"
"2021/08/09","2766","-598","1172","-3340","0"
"2021/08/06","3066","417","6946","-10429","0"
"2021/08/05","-4077","331","4865","-1119","0"
"2021/08/04","-8861","-13","-3825","12699","0"
"2021/08/03","-6041","108","-8388","14321","0"
"2021/08/02","-5802","-274","-3280","9356","0"
"2021/07/30","7865","-10","5074","-12929","0"
"2021/07/29","-1500","135","90","1275","0"
"2021/07/28","-2464","157","-255","2562","0"
"2021/07/27","-4631","-248","-3033","7912","0"
"2021/07/26","3748","-385","5225","-8588","0"
"2021/07/23","-2630","483","1699","448","0"
"2021/07/22","-11433","408","-7231","18256","0"
"2021/07/21","5767","13","1900","-7680","0"
"2021/07/20","46","-127","1241","-1160","0"
"2021/07/19","3404","-600","1430","-4234","0"
"2021/07/16","5851","105","771","-6727","0"
"2021/07/15","-2314","374","-1761","3701","0"
"2021/07/14","702","-224","1864","-2342","0"
"2021/07/13","-4757","120","-2009","6646","0"
"2021/07/12","-2530","-26","-5130","7686","0"
"2021/07/09","8099","-514","-4654","-2931","0"
"2021/07/08","4799","-459","6300","-10640","0"
"2021/07/07","5473","-56","4710","-10127","0"
"2021/07/06","-1639","151","1039","449","0"
"2021/07/05","-2604","138","-2513","4979","0"
"2021/07/02","227","-146","-1823","1742","0"
"2021/07/01","7286","-31","3287","-10542","0"
"2021/06/30","-908","-67","-2329","3304","0"
"2021/06/29","6084","120","2374","-8578","0"
"2021/06/28","2703","42","-122","-2623","0"
"2021/06/25","-3107","259","1554","1294","0"
"2021/06/24","-3718","136","-1434","5016","0"
"2021/06/23","-4419","-14","-2014","6447","0"
"2021/06/22","-685","-69","-1556","2310","0"
"2021/06/21","6422","-538","414","-6298","0"
"2021/06/18","-129","407","1026","-1304","0"
"2021/06/17","4219","-740","2067","-5546","0"
"2021/06/16","-5026","221","-1694","6499","0"
"2021/06/15","357","-114","-2872","2629","0"
"2021/06/14","2128","159","841","-3128","0"
