일자,기관 합계,기타법인,개인,외국인 합계,전체
"2022/06/14","9806","-791","-18113","9098","0"
"2022/06/13","2303","-2816","-7577","8090","0"
"2022/06/10","6669","-2141","-44194","39666","0"
"2022/06/09","-42892","-4620","28838","18674","0"
"2022/06/08","-35337","4153","-1741","32925","0"
"2022/06/07","-48480","8717","22646","17117","0"
"2022/06/03","-39844","1091","713","38040","0"
"2022/06/02","-58498","-300","22919","35879","0"
"2022/05/31","-1772","-3476","-16407","21655","0"
"2022/05/30","-2433","-3735","-7276","13444","0"
"2022/05/27","-9275","1251","-30470","38494","0"
"2022/05/26","-1221","-4013","6082","-848","0"
"2022/05/25","-291","-5500","-5824","11615","0"
"2022/05/24","1844","-1814","-3021","2991","0"
"2022/05/23","793","255","-12018","10970","0"
"2022/05/20","2378","-4415","-32132","34169","0"
"2022/05/19","-4517","-5294","-14831","24642","0"
"2022/05/18","1671","-4365","1413","1281","0"
"2022/05/17","-1942","-4044","-15046","21032","0"
"2022/05/16","8091","-3834","-12510","8253","0"
"2022/05/13","11634","-9209","-41102","38677","0"
"2022/05/12","-80461","4475","60134","15852","0"
"2022/05/11","-31092","-2397","3945","29544","0"
"2022/05/10","-25155","-5634","16674","14115","0"
"2022/05/09","-34348","5666","10289","18393","0"
"2022/05/06","-44283","2203","15987","26093","0"
"2022/05/04","-25437","-3658","16858","12237","0"
"2022/05/03","-24518","-5257","-3746","33521","0"
"2022/05/02","-29462","-3739","-31115","64316","0"
"2022/04/29","157","-9289","-35365","44497","0"
"2022/04/28","2812","1721","-17201","12668","0"
"2022/04/27","-3238","653","8844","-6259","0"
"2022/04/26","-183","-3848","-18934","22965","0"
"2022/04/25","-1049","-7740","-3823","12612","0"
"2022/04/22","-1007","-701","-2510","4218","0"
"2022/04/21","1636","-10173","-3759","12296","0"
"2022/04/20","-1395","2815","-16449","15029","0"
"2022/04/19","3162","-8811","-21828","27477","0"
"2022/04/18","1303","-859","-9713","9269","0"
"2022/04/15","8595","-3795","-32354","27554","0"
"2022/04/14","-42053","-7687","16004","33736","0"
"2022/04/13","-51854","1108","16407","34339","0"
"2022/04/12","-26983","474","8177","18332","0"
"2022/04/11","-30468","919","14813","14736","0"
"2022/04/08","-30426","-1244","9123","22547","0"
"2022/04/07","-59837","-1744","22920","38661","0"
"2022/04/06","-37674","193","2080","35401","0"
"2022/04/05","-8406","-1389","-4225","14020","0"
"2022/04/04","-28593","-1760","7694","22659","0"
"2022/04/01","-35051","3521","15665","15865","0"
"2022/03/31","-3652","-1488","-32780","37920","0"
"2022/03/30","229","-5338","-8287","13396","0"
"2022/03/29","-1085","2947","-5470","3608","0"
"2022/03/28","-1594","-4192","-4275","10061","0"
"2022/03/25","1499","-2847","258","1090","0"
"2022/03/24","-2839","-2829","-5926","11594","0"
"2022/03/23","3330","-3708","-11086","11464","0"
"2022/03/22","5959","-5516","-9377","8934","0"
"2022/03/21","3473","-8502","-6289","11318","0"
"2022/03/18","5456","1437","-4468","-2425","0"
"2022/03/17","13","-10368","-1140","11495","0"
"2022/03/16","3082","-3475","-6999","7392","0"
"2022/03/15","-470","-2079","-9377","11926","0"
"2022/03/14","5957","-620","-11535","6198","0"
"2022/03/11","9754","-10767","-20931","21944","0"
"2022/03/10","-85348","17275","48850","19223","0"
"2022/03/08","-42222","2341","52157","-12276","0"
"2022/03/07","-45945","11993","54943","-20991","0"
"2022/03/04","-36145","-5862","-16959","58966","0"
"2022/03/03","-11414","-8557","-33541","53512","0"
"2022/03/02","-4190","-7190","-12381","23761","0"
"2022/02/28","3208","-6090","-16723","19605","0"
"2022/02/25","-2206","-5006","-18570","25782","0"
"2022/02/24","-3578","-6997","4096","6479","0"
"2022/02/23","4990","-5789","-14560","15359","0"
"2022/02/22","-9887","285","-15856","25458","0"
"2022/02/21","8849","-3279","-11263","5693","0"
"2022/02/18","-315","-3270","-8218","11803","0"
"2022/02/17","4285","-9883","-20066","25664","0"
"2022/02/16","2876","343","-10556","7337","0"
"2022/02/15","2747","-7156","-997","5406","0"
"2022/02/14","-2012","-3531","-12149","17692","0"
"2022/02/11","13997","-9401","-30414","25818","0"
"2022/02/10","-77684","-644","58830","19498","0"
"2022/02/09","-17556","7103","10072","381","0"
"2022/02/08","-39682","154","36543","2985","0"
"2022/02/07","-45769","3079","16572","26118","0"
"2022/02/04","-29450","-786","-15293","45529","0"
"2022/02/03","-50230","-3648","17803","36075","0"
"2022/01/28","2281","-7512","-35744","40975","0"
"2022/01/27","-6977","-2105","13959","-4877","0"
"2022/01/26","12827","-4008","-23522","14703","0"
"2022/01/25","-590","4685","6478","-10573","0"
"2022/01/24","9025","-6996","-6405","4376","0"
"2022/01/21","-1200","-7238","-3592","12030","0"
"2022/01/20","3879","-201","-11475","7797","0"
"2022/01/19","8069","-2889","-19392","14212","0"
"2022/01/18","-166","-1274","5718","-4278","0"
"2022/01/17","5588","-3059","-7893","5364","0"
"2022/01/14","10500","-15289","-13202","17991","0"
"2022/01/13","-68050","-1303","34758","34595","0"
"2022/01/12","-35262","-2342","23792","13812","0"
"2022/01/11","-22741","1066","13396","8279","0"
"2022/01/10","-15918","-1264","4319","12863","0"
"2022/01/07","-20055","1896","-29769","47928","0"
"2022/01/06","-26865","-5007","-3158","35030","0"
"2022/01/05","-8884","-985","10122","-253","0"
