회사명,나노신소재,대성파인텍,대주전자재료,신성이엔지보통주,아바코,알에스오토메이션,주성엔지니어링,주식회사케이씨씨,코미코,한화솔루션보통주
거래소코드,121600,104040,078600,011930,083930,140670,036930,002380,183300,009830
항목,종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원)
년도,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
2020/05/04,12450,1155,19300,886,6400,7120,5260,159500,24100,13800
2020/05/06,12900,1215,20400,910,6390,7600,5400,157500,25400,14000
2020/05/07,13200,1225,21100,905,6630,7630,5580,157500,26400,14300
2020/05/08,13200,1225,21300,906,6640,7840,5790,157500,26050,14300
2020/05/11,12950,1230,21250,943,6580,7830,5640,153000,27500,14950
2020/05/12,12600,1255,21400,912,6350,7600,5480,148000,27950,15550
2020/05/13,13050,1260,22150,917,6590,7600,5490,147000,27450,15450
2020/05/14,12800,1245,21350,918,6670,7460,5370,144000,26350,15650
2020/05/15,13550,1260,21650,903,6650,7380,5340,143000,29150,15200
2020/05/18,14100,1260,23050,903,7210,7330,5260,143000,31900,14850
2020/05/19,14300,1270,24550,902,7210,7630,5600,149000,32500,15750
2020/05/20,15450,1310,24950,907,7320,8030,5690,150000,33000,15750
2020/05/21,15450,1395,27200,960,8090,8840,5900,157500,33100,16500
2020/05/22,15400,1355,28550,926,8140,8720,5760,152000,34350,15950
2020/05/25,15850,1380,29650,971,8350,8730,5830,150500,37100,16100
2020/05/26,17200,1420,33200,973,8360,9200,5840,154500,35550,17000
2020/05/27,16900,1500,33300,1215,8090,9120,5790,154000,33650,16750
2020/05/28,15900,1425,31150,1150,8300,8520,5650,152500,32500,16300
2020/05/29,16700,1525,30100,1225,8210,8430,5400,143500,32400,16150
2020/06/01,16800,1660,30800,1375,8170,9030,5640,144000,34800,16800
2020/06/02,16400,1605,30700,1400,8260,8940,5770,147500,34300,17000
2020/06/03,15950,1540,29000,1370,7950,8860,5820,154500,33350,17250
2020/06/04,16750,1555,31000,1450,8030,8770,5850,152500,34050,17000
2020/06/05,16500,1550,30750,1410,7990,8780,5960,156000,34550,16900
2020/06/08,16700,1550,30000,1380,7770,8900,5950,156500,34400,17200
2020/06/09,17000,1565,29800,1360,7840,8840,5870,156500,33700,18350
2020/06/10,16750,1520,30000,1375,7950,8830,5860,153500,33800,18350
2020/06/11,16350,1475,31050,1280,7560,8720,5660,146500,33650,18050
2020/06/12,16250,1405,31400,1280,7700,8400,5500,141000,32650,18500
2020/06/15,15200,1250,28300,1115,7020,7840,5050,134500,30300,17250
2020/06/16,18450,1350,30050,1205,7490,7900,5320,141500,31350,19000
2020/06/17,19750,1290,31700,1150,7390,7780,5320,144500,31350,18450
2020/06/18,20100,1335,31850,1155,7450,7650,5300,145000,33100,18350
2020/06/19,20600,1340,36550,1220,7260,7780,5350,143500,33050,18550
2020/06/22,21000,1360,36700,1380,7270,7770,5340,139500,35800,18700
2020/06/23,21550,1325,37450,1345,7240,8000,5410,140500,35750,19500
2020/06/24,21700,1330,38600,1425,7270,8000,5540,141000,37000,19450
2020/06/25,21150,1280,37250,1335,7060,7730,5420,136000,38350,18950
2020/06/26,20400,1380,35250,1330,6960,7740,5690,136500,37500,19750
2020/06/29,19600,1315,33850,1290,7200,7270,5520,133000,36600,19050
2020/06/30,19400,1335,34450,1325,7050,7370,5600,133000,35950,19250
2020/07/01,19800,1295,34800,1315,7250,7470,6820,133500,35400,18850
2020/07/02,19650,1315,35600,1300,7460,7640,6640,133500,36150,18950
2020/07/03,20800,1320,35800,1300,7400,7660,7030,134500,36400,18850
2020/07/06,21350,1385,37200,1310,7900,7710,7200,136000,36600,19450
