Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,volumechange,Volume,Bid,Return on Equity (ROE) - Current (Annual),Ask,High,Low,Market Cap
FUN,CEDAR FAIR LP DEPOSITRY UTS(REP LTD PART),37.50,-.25,-0.66%,-16.6,"533,110",37.14,1535.5,37.86,37.73,37.30,"1,925 M"
TNL,TRAVEL PLUS LEISURE CO COM,41.82,-1.32,-3.06%,62.36,"818,279",41.40,689.23,42.24,43.17,41.43,"3,188 M"
RRR,RED ROCK RESORTS INC COM CL A,49.07,+.39,+0.80%,-25.26,"275,451",48.53,397.87,49.60,49.07,48.07,"2,856 M"
TPX,TEMPUR SEALY INTERNATIONAL INC COM,43.97,-.02,-0.05%,-11.95,"1,334,089",43.54,345.62,44.39,44.13,43.39,"7,566 M"
FTDR,FRONTDOOR INC COM,34.04,-.07,-0.21%,-57.45,"391,285",33.80,225.4,34.28,34.18,33.76,"2,782 M"
VVV,VALVOLINE INC COM,37.95,-.13,-0.34%,-10.9,"1,046,940",37.59,192.38,38.30,38.17,37.705,"5,270 M"
HRB,BLOCK (H & R) INC COM,32.55,+.02,+0.06%,36.53,"1,236,980",32.27,183.83,32.83,32.645,32.27,"4,957 M"
SEE,SEALED AIR CORP COM,44.45,-.18,-0.40%,2.66,"1,778,342",44.10,165.86,44.80,44.80,43.72,"6,418 M"
NOG,NORTHERN OIL & GAS INC (NEV) COM,34.48,-1.19,-3.34%,-20.52,"1,076,553",34.40,151.54,34.48,35.60,34.42,"3,207 M"
KTB,KONTOOR BRANDS INC COM,39.11,-1.01,-2.52%,-37.17,"301,908",38.74,123.09,39.48,39.83,38.49,"2,193 M"
NXT,NEXTRACKER INC COM,37.79,-1.23,-3.15%,14.21,"1,251,487",37.75,113.49,39.98,40.08,37.55,"2,271 M"
HALO,HALOZYME THERAPEUTICS INC COM,38.22,-.99,-2.52%,-43.47,"826,705",37.29,110.23,39.16,39.28,37.685,"5,033 M"
VSCO,VICTORIAS SECRET AND CO COM,19.32,+.12,+0.63%,-10.54,"2,020,234",19.21,108.75,19.37,19.385,18.47,"1,491 M"
ARHS,ARHAUS INC COM CL A,10.83,+.24,+2.27%,-35.43,"496,458",10.51,97.784,11.18,10.92,10.62,"1,517 M"
CWH,CAMPING WORLD HOLDINGS INC COM CL A,31.59,-.74,-2.29%,-37.06,"867,585",28.75,89.541,32.58,32.59,31.09,"1,405 M"
ZIM,ZIM INTEGRATED SHIPPING SERV COM,12.74,-.04,-0.31%,-13.4,"2,442,739",12.74,88.143,12.76,12.885,12.41,"1,531 M"
SHLS,SHOALS TECHNOLOGIES GRP INC COM CL A,25.35,-.60,-2.31%,-50.89,"1,425,159",24.13,86.832,25.88,25.9512,25.16,"4,305 M"
CVI,CVR ENERGY INC COM,30.74,-.57,-1.82%,-30.86,"594,711",30.74,85.424,32.43,31.20,30.21,"3,090 M"
PBF,PBF ENERGY INC COM CL A,39.90,-.81,-1.99%,13.82,"2,000,730",39.90,83.928,44.00,40.3268,39.46,"5,031 M"
PARR,PAR PACIFIC HOLDINGS INC COM,26.85,-.16,-0.59%,-12.26,"510,488",13.00,80.021,26.85,26.91,26.26,"1,639 M"
VTLE,VITAL ENERGY INC COM,46.43,-2.96,-5.99%,-19.06,"547,686",46.29,77.747,46.97,48.88,46.43,863 M
AVTA,AVANTAX INC COM,25.18,+.06,+0.24%,-28.57,"226,967",24.91,77.478,25.45,25.24,24.57,972 M
MGY,MAGNOLIA OIL & GAS CORPORATION COM CL A,20.47,-1.25,-5.76%,-32.08,"2,579,527",18.99,74.71,22.50,21.49,20.415,"3,892 M"
BKE,BUCKLE COM,33.99,+.17,+0.50%,-20.71,"312,630",33.66,73.886,34.32,34.01,33.08,"1,715 M"
DVAX,DYNAVAX TECHNOLOGIES CORP COM,13.91,-.11,-0.78%,-33.8,"1,923,162",13.81,72.91,14.10,14.07,13.74,"1,787 M"
EMBC,EMBECTA CORPORATION COM,21.34,+.85,+4.15%,280.3,"1,617,786",20.80,71.184,21.45,21.42,20.40,"1,223 M"
VNT,VONTIER CORP COM,32.41,-.35,-1.07%,-47.84,"354,862",31.66,70.01,32.95,32.67,32.22,"5,044 M"
